Wow, NN
proud, JJ
clever, NN
themselves, PRP
newspaper, NN
matters, NNS
worse, JJR
land, VB
moon, NN
eager, JJ
Wooden, NNP
buildings, NNS
catch, VBP
Would, NNP
mind, VBP
opening, VBG
loyalty, NN
chance, NN
century, NN
According, VBG
All, NNP
sudden, JJ
laugh, IN
interesting, JJ
saying, VBG
extend, VB
stay, NN
front, NN
Everybody, NNP
toilet, NN
nearby, RB
pencils, IN
helps, VBZ
help, VBP
both, VB
write, JJ
Russian, NN
sentence, NN
seemed, VBD
ignorance, NN
stuck, VBD
pieces, NNS
together, RB
better, RB
Her, NNP
catch, VB
Oxford, NNP
University, NNP
buried, VBD
pet, JJ
cemetery, NN
spend, VB
$, $
dreamed, VBD
visit, VBP
twice, RB
studied, VBN
In, IN
jogging, NN
company, NN
No, RB
innocent, JJ
Opinions, NNS
vary, VBP
complains, NNS
everything, NN
like, JJ
Stars, NNS
daytime, NN
ninth, JJ
completely, RB
unfounded, JJ
approached, VBD
looked, VBN
advised, VBD
smoke, VB
law, NN
equal, JJ
far, RB
hour, NN
scattered, VBD
match, VB
brown, JJ
agreement, NN
subject, NN
managed, VBD
talked, VBD
breakfast, NN
college, NN
Which, WDT
Keep, VB
genuine, JJ
runs, VBZ
through, IN
valley, NN
thick, JJ
mist, NN
covered, VBD
countryside, NN
around, RP
quitting, VBG
Buddhism, NNP
its, PRP$
beginnings, NNS
Butter, NNP
cheese, NNS
Classical, NNP
bring, VBP
bones, NNS
leg, NN
less, RBR
impatient, JJ
answering, VBG
gently, RB
shoulder, NN
street, NN
corner, NN
grows, VBZ
wiped, VBD
sweat, NN
forehead, NN
follows, VBZ
scale, NN
England, NNP
opportunity, NN
amazed, VBN
scared, VBN
Anchorage, NNP
current, JJ
income, NN
bit, NN
ache, NN
Imagine, VBP
machine, NN
bed, VBN
earlier, RBR
complained, VBD
rudeness, NN
prepared, VBD
only, RB
pretending, VBG
asleep, JJ
fit, VB
fifteen, JJ
dug, VBP
treasure, NN
attended, VBN
occurred, VBD
known, VBN
imitate, VB
exhibited, VBD
remorse, NN
crime, NN
education, NN
failure, NN
board, NN
childhood, NN
Mohan, NNP
acquainted, VBN
sofa, NN
veracity, NN
ride, VB
unicycle, NN
regret, VBP
staying, VBG
taught, VBN
necessary, JJ
Leave, NNP
front, JJ
Look, NNP
phrase, NN
dictionary, JJ
Mom, NNP
scolded, VBD
clean, JJ
keeps, VBZ
uncle, NN
amateur, NN
cricket, NN
player, NN
passed, VBD
peacefully, RB
pet, NN
brought, VBN
leaves, VBZ
fall, NN
Sickness, RB
Strange, NNP
sound, VB
Taste, NNP
wherever, NN
fit, JJ
beast, VB
patrolling, VBG
ten, VBN
longer, RBR
doubt, NN
trying, VBG
persuade, VB
charged, VBD
scattered, VBN
directions, NNS
cloth, NN
silky, VB
driven, VBN
electricity, NN
clear, VB
out, RB
unused, JJ
pink, NN
received, VBD
Where, NNP
remote, JJ
control, NN
wearing, VBG
inside, IN
stars, NNS
sometimes, RB
embezzled, VBD
so, IN
employees, NNS
hesitation, NN
stories, NNS
cooking, VBG
bus, VB
ready, NN
fully, RB
convinced, VBN
innocence, NN
American, JJ
literature, NN
obliged, VBN
youngster, NN
pair, NN
scissors, NNS
debt, NN
drop, NN
weeks, NNS
doll, NN
consented, VBD
suffers, VBZ
headaches, NNS
Nothing, VBG
miracle, NN
save, VB
reminds, VBZ
herself, VB
Talking, NN
gentleman, NN
pianist, NN
lights, NNS
proved, VBD
absolute, JJ
scar, NN
cheek, NN
shows, VBZ
common, JJ
completed, VBN
fall, VB
environment, NN
languages, VBZ
proverb, NN
Workers, NNS
turning, VBG
volume, NN
club, NN
nerve, NN
examination, NN
results, NNS
excellent, JJ
Cows, NNS
sacred, VBN
entered, VBD
hardships, NNS
reduce, VB
price, NN
wares, NNS
invited, VBN
poet, NN
destined, VBN
adding, VBG
salt, NN
concert, NN
finish, VB
confident, JJ
pronounce, VB
longer, JJR
writing, VBG
letters, NNS
angels, NNS
talked, VBN
expect, VB
recognize, VBP
dark, NN
better, VB
straight, RB
different, JJ
meant, VB
Science, NNP
matches, NNS
found, VBN
everywhere, RB
forward, RB
bridge, NN
named, VBN
Rainbow, NNP
Bridge, NNP
arrested, VBD
burglar, NN
empty, VBN
live, JJ
museum, NN
satisfying, VBG
spoiled, VBD
Three, NNP
prison, NN
film, NN
dinner, VBN
punished, VBN
break, VBP
spit, VB
Absence, NNP
caused, VBD
identify, VBP
earthquake, NN
Having, VBG
recognized, VBD
illness, NN
defeated, VBD
opponent, NN
election, NN
failed, VBD
expectations, NNS
jumped, VBD
release, VB
prisoners, NNS
locked, JJ
rely, VBP
convinced, JJ
wrong, NN
watched, VBD
beginning, VBG
materials, NNS
acquaintance, NN
woods, NNS
strangers, NNS
whether, IN
refuse, VB
request, NN
countries, NNS
wedding, VBG
conditioner, NN
noise, IN
heavy, JJ
bakery, NN
cute, JJ
lady, NN
granddaughter, VBP
situation, NN
calls, VBZ
drastic, JJ
measures, NNS
penalty, NN
drive, NN
next, IN
Dark, NNP
Continent, NNP
Believe, NNP
Cancer, NNP
cured, VBN
discovered, VBN
send, VBP
6, CD
brave, JJ
himself, PRP
act, NN
pickpocketing, VBG
outside, RB
breath, NN
fresh, JJ
Health, NNP
most, RBS
precious, JJ
operate, VB
find, VBP
sugar, VBN
erase, VB
wondering, VBG
end, NN
definite, JJ
workers, NNS
home, RB
Saying, VBG
rotten, JJ
carelessness, NN
eat, NN
rice, NN
least, JJS
Qutub, NNP
Minar, NNP
Red, NNP
Fort, NNP
farmer, NN
Toudaiji, NNP
spending, VBG
By, IN
Hokkaido, NNP
Cover, NNP
injured, JJ
blanket, NN
During, IN
From, IN
growing, VBG
poorer, NN
arrested, VBN
stole, VBD
disappointment, NN
obvious, JJ
main, JJ
object, NN
chose, VBD
blue, NN
cost, VB
ran, VBP
during, IN
decided, VBN
climate, NN
matter, VB
agrees, VBZ
congratulate, VB
engagement, NN
possession, NN
People, NNS
Respect, NNP
respected, VBN
vocabulary, NN
amend, VB
constitution, NN
holiday, NN
locked, VBN
hold, VB
tears, NNS
carries, VBZ
seeds, NNS
distances, NNS
clouds, NNS
furnished, VBD
library, NN
closed, VBN
originally, RB
journey, NN
investigated, VBD
angles, NNS
stayed, VBP
run, VBN
photocopier, NN
Whoever, WDT
supposed, VBN
leaving, VBG
requires, VBZ
madman, NN
accountable, JJ
actions, NNS
rubber, NN
bounces, NNS
elastic, JJ
answers, NNS
part, NN
seven, CD
British, JJ
citizen, NN
becoming, VBG
artist, NN
closing, VBG
impossible, JJ
spends, VBZ
opinion, NN
entirely, RB
arrived, VBN
lying, VBG
heap, NN
theater, NN
woke, VBD
middle, NN
government, NN
reforming, VBG
male, NN
peacock, NN
colorful, JJ
tail, NN
feathers, NNS
leading, VBG
cursed, VBD
finding, VBG
Waking, NNP
opposite, NN
Whoever, NNP
seats, NNS
Be, VB
Because, IN
occur, VB
windows, NNS
copyrighted, VBN
sources, NNS
test, NN
balance, NN
ought, MD
allowances, NNS
oppose, VBP
till, NN
couple, NN
whom, WP
pouring, VBG
lift, NN
Mt, NNP
Everest, NNP
highest, JJS
peak, NN
burst, VB
poured, VBD
Something, NNP
washing, VBG
enter, VBP
classroom, NN
careless, NN
driving, VBG
factory, NN
cease, VB
operations, NNS
alarm, NN
throughout, IN
observed, VBD
open, VBZ
certain, JJ
eventually, RB
fined, VBD
5,000, CD
illegal, JJ
parking, NN
distinguish, VB
right, RB
granted, VBN
difference, NN
wins, VBZ
receive, VB
whichever, IN
As, NNP
finished, VBD
Going, VBG
gives, VBZ
misunderstanding, NN
fight, NN
tried, VBN
innumerable, JJ
contact, VB
teaching, VBG
alphabet, NN
hang, VB
given, VBN
biggest, JJS
source, NN
inspiration, NN
hesitate, VB
drug, NN
smuggler, NN
instant, NN
fortunate, JJ
loving, JJ
forget, VBP
presents, NNS
switch, VB
off, IN
member, NN
ago, RB
commit, VB
suicide, RB
English, NN
upon, IN
lots, NNS
weekend, NN
whose, WP$
waist, NN
ago, IN
gained, VBD
independence, NN
Britain, NNP
1947, CD
Last, JJ
absent, JJ
Something, VBG
happened, VBN
Sometimes, NNP
reason, NN
located, VBN
towns, NNS
grapes, NNS
sour, JJ
booted, VBD
Thousands, NNS
foreigners, NNS
customers, NNS
shut, VBP
products, NNS
independent, JJ
While, IN
Taiwan, NNP
speaking, VBG
softer, JJR
strike, NN
resting, VBG
please, VBP
elected, VBN
president, NN
Frankly, RB
speaking, NN
except, IN
reminded, VBD
wake, VB
7:00, CD
sent, VBD
parcel, NN
translate, VB
phrases, NNS
ill, VBN
ease, NN
searching, VBG
exist, VB
immediately, RB
once, IN
talk, VBP
private, JJ
acquaintances, NNS
reform, NN
laws, NNS
above, IN
sixth, JJ
floor, NN
superior, JJ
quality, NN
seventeen, JJ
sad, JJ
popular, JJ
US, NNP
Will, NNP
exchange, VBP
sweater, NN
Write, NNP
import, VB
U.S., NNP
contracted, VBD
malaria, NNS
living, NN
property, NN
bored, VBN
slept, VBP
largest, JJS
cities, NNS
Thames, NNPS
distributed, VBN
need, NN
returning, VBG
even, RB
swear, VBP
decide, VB
freedom, NN
objected, VBD
pass, VB
removing, VBG
gut, NN
feeling, NN
regard, NN
spent, VBD
chatting, VBG
misunderstanding, VBG
seventh, JJ
noisy, JJ
heard, VB
longer, RB
Many, JJ
encouraged, VBD
fulfill, VB
ambitions, NNS
constantly, RB
forgetting, VBG
names, NNS
careful, JJ
seldom, VBD
theory, NN
comprehend, VB
surprise, NN
emergency, NN
polluted, JJ
atmosphere, NN
reached, VBN
rang, NN
return, VBP
International, NNP
trade, NN
vital, JJ
economies, NNS
richest, JJS
bat, NN
balls, NNS
responsible, JJ
protection, NN
backs, NNS
arrives, VBZ
After, IN
laid, VBD
kindness, NN
carefully, RB
selfish, JJ
thinks, NNS
feelings, NNS
lack, NN
dropped, VBN
photograph, NN
developed, VBD
arrange, VB
motorbike, NN
helmet, NN
dirty, JJ
repairing, VBG
promote, VB
industry, NN
majority, NN
committee, NN
bill, NN
spread, NN
AIDS, NNP
horrifyingly, RB
French, VB
parts, NNS
shower, NN
drenched, VBN
skin, NN
lakes, NNS
Lake, NNP
Biwa, NNP
call, JJ
beforehand, NN
sure, NN
Maybe, NNP
unhappy, JJ
intend, VB
kill, VB
Seen, NNP
huge, JJ
snake, NN
murdered, VBN
entrance, NN
communicate, VBP
With, IN
little, RB
patience, NN
succeeded, VBN
chain, NN
bite, VB
hard, RB
exam, NN
investigate, VB
saying, NN
Nothing, NN
ventured, JJ
swallow, VB
tablets, NNS
drink, NN
awake, RB
Taj, NNP
Mahal, NNP
wonders, NNS
caught, NN
voyage, NN
feeling, VBG
obtained, VBD
yield, NN
8, CD
percent, NN
investment, NN
pollute, VB
conduct, NN
Columbus, NNP
argued, VBD
reach, VB
west, NN
1600s, CD
introduced, VBN
Without, IN
spent, VBN
takes, VBZ
barely, RB
afford, VB
essential, JJ
command, NN
nowadays, NNS
Mumbai, NNP
Indian, JJ
Maharashtra, NNP
Parents, NNS
fishing, VBG
100, CD
intends, VBZ
devote, VB
curing, VBG
sick, NN
wear, VB
greatest, JJS
economic, JJ
powers, NNS
On, IN
fifteenth, NN
thousands, NNS
fly, VBP
affected, VBN
hurry, VB
calculation, NN
Although, IN
twins, NNS
interests, NNS
Cross, NNP
paid, VBN
dues, NNS
deliberately, RB
ignored, VBD
promised, VBD
Seeing, VBG
authorities, NNS
hiding, VBG
facts, NNS
public, NN
opened, VBD
smelt, VBD
imitation, NN
diamonds, NNS
sets, NNS
destination, NN
Covered, NNP
waste, VB
Nobody, NNP
blowing, VBG
horn, NN
demanded, VBN
copies, NNS
destroyed, VBN
sheep, NN
field, NN
higher, JJR
pay, NN
die, VBP
wars, NNS
fisherman, NN
exaggerated, VBD
rid, VB
corruption, NN
toes, NNS
sticking, VBG
Instead, RB
cleaning, VBG
less, JJR
prepare, VB
resembles, VBZ
appearance, NN
character, NN
turns, VBZ
teaching, NN
shall, MD
stop, NN
incident, NN
Electric, NNP
companies, NNS
seeking, VBG
till, IN
lose, VBP
realize, VBP
value, NN
novel, JJ
staring, VBG
ceiling, NN
turned, VBN
handful, NN
peanuts, NNS
firm, NN
bankruptcy, NN
learning, VBG
below, IN
access, NN
acknowledgement, NN
services, NNS
twin, NN
girls, NNS
alike, IN
practice, NN
supper, JJ
laying, VBG
thieves, NNS
drawers, NNS
search, NN
driver, NN
license, NN
eighteen, JJ
kept, NN
touch, NN
mail, NN
overseas, RB
Teresa, NNP
Catholic, JJ
nun, NN
Calcutta, NNP
George, NNP
Washington, NNP
Unites, NNP
States, NNPS
1951, CD
Sister, NNP
sent, VBN
prize, JJ
supermarket, NN
daily, JJ
passengers, NNS
injured, VBN
nearest, JJS
Democracy, NN
worst, JJS
form, NN
kid, NN
touching, VBG
bugs, NNS
bother, VB
Make, VBP
translation, NN
translating, VBG
translations, NNS
influence, NN
